,distance,velocity,minttc
0,10,10,0.589327889
1,10,10.4,0.589327884
2,10,10.8,0.589327884
3,10,11.2,0.589327666
4,10,11.6,0.589327666
5,10,12,0.589327666
6,10,12.4,0.589327666
7,10,12.8,0.589327666
8,10,13.2,0.589327666
9,10,13.6,0.589327666
10,10,14,0.589327884
11,10,14.4,0.589327666
12,10,14.8,0.589327666
13,10,15.2,0.589327666
14,10,15.6,0.589327666
15,10,16,0.589327666
16,10,16.4,0.589327666
17,10,16.8,0.589327666
18,10,17.2,0.589327667
19,10,17.6,0.589327885
20,10,18,0.509900047
21,10,18.4,0.509900047
22,10,18.8,0.322072096
23,10,19.2,0.322072096
24,10,19.6,0.322072096
25,10,20,0.322072096
26,10,20.4,0.322072096
27,10,20.8,0.322072096
28,10,21.2,0.322072096
29,10,21.6,0.322072145
30,10,22,0.322072145
31,10,22.4,0.589327862
32,10,22.8,0.589328111
33,10,23.2,0.589328111
34,10,23.6,0.589328111
35,10,24,0.589328111
36,10,24.4,0.589328111
37,10,24.8,0.58932787
38,10,25.2,0.58932787
39,10,25.6,0.58932787
40,10,26,0.589328111
41,10,26.4,0.589328111
42,10,26.8,0.589328111
43,10,27.2,0.589327685
44,10,27.6,0.589327685
45,10,28,0.589327878
46,10,28.4,0.589327878
47,10,28.8,0.589327878
48,10,29.2,0.589327685
49,10,29.6,0.589327685
50,10,30,0.589327685
51,12,10,0.873677954
52,12,10.4,0.873677968
53,12,10.8,0.873678084
54,12,11.2,0.873678084
55,12,11.6,0.873678084
56,12,12,0.873677968
57,12,12.4,0.873677968
58,12,12.8,0.873677968
59,12,13.2,0.873677968
60,12,13.6,0.873677968
61,12,14,0.873677968
62,12,14.4,0.873678084
63,12,14.8,0.873678084
64,12,15.2,0.873678084
65,12,15.6,0.873677968
66,12,16,0.873677968
67,12,16.4,0.873677968
68,12,16.8,0.873677968
69,12,17.2,0.873677968
70,12,17.6,0.828063362
71,12,18,0.873678083
72,12,18.4,0.873678083
73,12,18.8,0.321237531
74,12,19.2,0.32129883
75,12,19.6,0.321301045
76,12,20,0.321315173
77,12,20.4,0.321301045
78,12,20.8,0.321306829
79,12,21.2,0.321301069
80,12,21.6,0.321237531
81,12,22,0.321237556
82,12,22.4,0.321301045
83,12,22.8,0.866142642
84,12,23.2,0.873677927
85,12,23.6,0.873677927
86,12,24,0.873677927
87,12,24.4,0.873677927
88,12,24.8,0.873677926
89,12,25.2,0.873678092
90,12,25.6,0.873678093
91,12,26,0.873677927
92,12,26.4,0.873677927
93,12,26.8,0.873677927
94,12,27.2,0.873677954
95,12,27.6,0.873677954
96,12,28,0.873677954
97,12,28.4,0.873678088
98,12,28.8,0.873678088
99,12,29.2,0.873677954
100,12,29.6,0.873678088
101,12,30,0.873677954
102,14,10,1.090767301
103,14,10.4,1.090767723
104,14,10.8,1.090767723
105,14,11.2,1.090767723
106,14,11.6,1.090767301
107,14,12,1.090767723
108,14,12.4,1.090767723
109,14,12.8,1.090767723
110,14,13.2,1.090767723
111,14,13.6,1.090767723
112,14,14,1.090767723
113,14,14.4,1.090767723
114,14,14.8,1.090767723
115,14,15.2,1.090767723
116,14,15.6,1.090767723
117,14,16,1.090767723
118,14,16.4,1.090767723
119,14,16.8,1.090767723
120,14,17.2,1.090767723
121,14,17.6,1.090767723
122,14,18,1.045910773
123,14,18.4,1.045910773
124,14,18.8,1.045910773
125,14,19.2,0.321093888
126,14,19.6,0.320861419
127,14,20,0.320861419
128,14,20.4,0.320792829
129,14,20.8,0.320784806
130,14,21.2,0.320803134
131,14,21.6,0.320803134
